SNR,Topic,Passage Pair,Sentence Number,Sentence,Key Words,Correct Key Words
25,Lemon,7,1,"A lemon is an oval, yellow citrus fruit.  ","lemon, oval, yellow, citrus, fruit  ",
25,Lemon,7,2,It grows in southern California and Florida.  ,"grows, southern, California, Florida  ",
25,Lemon,7,3,"Lemon trees are medium sized, with spreading branches.  ","Trees, medium, sized, spreading, branches  ",
25,Lemon,7,4,They have pale green leaves and large flowers.  ,"pale, green, leaves, large, flowers",
25,Lemon,7,5,"The flowers are white, with purple underneath.  ","white, purple, underneath  ",
25,Lemon,7,6,The lemon flower smells sweet.  ,"Smells, sweet",
25,Lemon,7,7,Some types of lemons have no seeds.  ,"some, types, seeds",
20,Violin,7,1,The violin is the best known stringed instrument.  ,"best, known, stringed, instrument  ",
20,Violin,7,2,Early violins did not produce clear tones.  ,"early, violins, produce, clear, tones",
20,Violin,7,3,These violins were very rough sounding.  ,"rough, sounding  ",
20,Violin,7,4,Later violin makers improved their craft.  ,"later, makers, improved, craft",
20,Violin,7,5,Their violins were extremely well made.  ,"extremely, well, made",
20,Violin,7,6,The violin became an instrument for beautiful music.  ,"became, beautiful, music  ",
20,Violin,7,7,Only small changes have occurred in violin design.  ,"only, small, changes, occurred, design  ",
15,Cabbage,13,1,Cabbage is the most common garden vegetable.  ,"most, common, garden, vegetable  ",
15,Cabbage,13,2,It has thick leaves which curl inward.  ,"thick, leaves, curl, inward",
15,Cabbage,13,3,They form a round head eight inches across.  ,"Form, round, head, eight, inches  ",
15,Cabbage,13,4,"The word cabbage is Latin for ""head"".  ","word, cabbage, Latin, head  ",
15,Cabbage,13,5,The cabbage plant can live through several freezes.  ,"Plant, live, several, freezes  ",
15,Cabbage,13,6,It also grows in the heat of summer.  ,"Grows, heat, summer  ",
15,Cabbage,13,7,Early spring cabbage is planted in greenhouses.  ,"early, spring, planted, greenhouses",
10,Gold,13,1,Gold was one of the first known metals.  ,"gold, first, known, metals  ",
10,Gold,13,2,For many years gold has symbolized wealth.  ,"many, years, symbolized, wealth  ",
10,Gold,13,3,Even the early cave man knew about gold.  ,"even, early, cave, man, knew  ",
10,Gold,13,4,Ancient Egyptians hammered gold into leaves.  ,"ancient, Egyptians, hammered, leaves  ",
10,Gold,13,5,They used these leaves to decorate their tombs.  ,"used, decorate, tombs  ",
10,Gold,13,6,A science grew up around efforts to make gold.  ,"science, grew, efforts",
10,Gold,13,7,It started during the middle ages.  ,"started, during, middle, ages",
5,Dice,19,1,Dice are cubes used in games of chance.  ,"dice, used, games, chance",
5,Dice,19,2,"They may be made of ivory, wood, or plastic.  ","made, ivory, wood, plastic  ",
5,Dice,19,3,A single such cube is called a die.  ,"single, cube, called  ",
5,Dice,19,4,Each side of a die has one to six dots.  ,"side, die, one, six",
5,Dice,19,5,Dots on opposite sides add up to seven.  ,"dots, opposite, add, seven  ",
5,Dice,19,6,Players toss the dice on a flat surface.  ,"Player, toss, flat, surface  ",
5,Dice,19,7,The numbers that come up decide the game.  ,"numbers, come, decide",
0,Eagle,19,1,The eagle is a large bird of prey.  ,"eagle, large, bird, prey  ",
0,Eagle,19,2,It has powerful wings and sharp eyes.  ,"powerful, wings, sharp, eyes",
0,Eagle,19,3,The eagle is a symbol of courage and freedom.  ,"symbol, courage, freedom",
0,Eagle,19,4,The bald eagle is America's national bird.  ,"bald, America, national, bird  ",
0,Eagle,19,5,There are several different kinds of eagles.  ,"several, different, kinds",
0,Eagle,19,6,Each type is very different in size and color.  ,"type, size, color",
0,Eagle,19,7,Eagles have strong beaks and powerful claws.  ,"Strong, beaks, claws  ",
